"periodStartUnix","volume","volumeUSD","untrackedVolumeUSD","totalValueLocked","totalValueLockedUSD","priceUSD","feesUSD","open","high","low","close","symbol","date"
1644836400,"0","0","0","11282902.925025569326960436","11282902.925025569326960436","1","0","1","1","1","1","TUSD","2022-02-14 11:00:00"
1644836400,"0","0","0","4340655.181056381558218723","13163418.70114654522386162228839876","3.032587973952580866951572678164367","0","3.032587973952580866951572678164367","3.032587973952580866951572678164367","3.032587973952580866951572678164367","3.032587973952580866951572678164367","RAI","2022-02-14 11:00:00"
1644836400,"0","0","0","239876347.725306873146349984","1356334.02809015697027918722805759","0.005654304982345969707959594245977244","0","0.00561070462449775829254810548089715","0.005913263075693719093944220726548549","0.00561070462449775829254810548089715","0.005654304982345969707959594245977244","SPELL","2022-02-14 11:00:00"
1644836400,"0","0","0","234.259732503069923463","1300820.431958880796136653356451399","5552.898136011633257803973110369343","0","5552.898136011633257803973110369343","5552.898136011633257803973110369343","5552.898136011633257803973110369343","5552.898136011633257803973110369343","gOHM","2022-02-14 11:00:00"
1644836400,"0","0","0","153.083742631601828549","0","0","0","0","0","0","0","QUA","2022-02-14 11:00:00"
1644836400,"0","0","0","25769.918778415935968916","111028.2220779946825705413027309296","4.308442841154330246794640188362648","0","4.308442841154330246794640188362648","4.308442841154330246794640188362648","4.308442841154330246794640188362648","4.308442841154330246794640188362648","API3","2022-02-14 11:00:00"
1644836400,"0","0","0","96751.050802724921574767","2926743.568960878504599081800654739","30.25025097586277526065729126515052","0","30.25025097586277526065729126515052","30.25025097586277526065729126515052","30.25025097586277526065729126515052","30.25025097586277526065729126515052","BTC2x-FLI","2022-02-14 11:00:00"
1644836400,"0","0","0","9553.285539548910578228","0","0","0","0","0","0","0","BLOOD","2022-02-14 11:00:00"
1644836400,"0","0","0","31569.369417496624577455","5422668.010735358439189603275306897","171.769918461848169262531713644096","0","172.0665552242340354582617321488453","172.0665552242340354582617321488453","171.769918461848169262531713644096","171.769918461848169262531713644096","DPI","2022-02-14 11:00:00"
1644836400,"0","0","0","5622.288855308872020793","0","0","0","0","0","0","0","iFARM","2022-02-14 11:00:00"
1644836400,"0","0","0","103666727.86447883753960605","0","0","0","0","0","0","0","STC","2022-02-14 11:00:00"
1644836400,"0","0","0","1054873.794902158817320607","914561.696133665982737439901368651","0.8669868381918549795367686845408774","0","0.8669868381918549795367686845408774","0.8669868381918549795367686845408774","0.8669868381918549795367686845408774","0.8669868381918549795367686845408774","GEL","2022-02-14 11:00:00"
1644836400,"0","0","0","22153353.15905581","6267420.386223062768108551807900522","0.2829106881122904561106764450486313","0","0.2829106881122904561106764450486313","0.2829106881122904561106764450486313","0.2829106881122904561106764450486313","0.2829106881122904561106764450486313","GALA","2022-02-14 11:00:00"
1644836400,"0","0","0","25304421.742075395214084526","832405.8436448597912227986315797222","0.03289566748963725896036577560404948","0","0.03342734621211093167384574082474387","0.03342734621211093167384574082474387","0.03289566748963725896036577560404948","0.03289566748963725896036577560404948","RVP","2022-02-14 11:00:00"
1644836400,"0","0","0","38925879.362772343178566714","44105734.87767417008107520419994282","1.133069710940318548968273163691939","0","1.133069710940318548968273163691939","1.133069710940318548968273163691939","1.133069710940318548968273163691939","1.133069710940318548968273163691939","agEUR","2022-02-14 11:00:00"
1644836400,"0","0","0","1024942639206.854021335432175099","0","0","0","0","0","0","0","RND","2022-02-14 11:00:00"
1644836400,"0","0","0","2342003.160932161073325008","24239529.8238688172336893601296404","10.34991336827275283415902053996005","0","10.34991336827275283415902053996005","10.34991336827275283415902053996005","10.34991336827275283415902053996005","10.34991336827275283415902053996005","UNI","2022-02-14 11:00:00"
1644836400,"0","0","0","1815632.85152001644580524","0","0","0","0","0","0","0","MET","2022-02-14 11:00:00"
1644836400,"0","0","0","823.160501142702098255","0","0","0","0","0","0","0","rETH2","2022-02-14 11:00:00"
1644836400,"0","0","0","51067316.099816209911659889","938249.5766576841831387947860841488","0.01837279983196651530396301928365034","0","0.01841008896043446984831102064121942","0.01844134839749227865883490719560959","0.01837279983196651530396301928365034","0.01837279983196651530396301928365034","MOONEY","2022-02-14 11:00:00"
1644836400,"0","0","0","5795.46776112","244168963.2290505538213420013952843","42131.01915036169787491612234857437","0","42098.92424238855176386218612990866","42131.01915036169787491612234857437","42098.92424238855176386218612990866","42131.01915036169787491612234857437","WBTC","2022-02-14 11:00:00"
1644836400,"0","0","0","10120906","0","0","0","0","0","0","0","FUR","2022-02-14 11:00:00"
1644836400,"0","0","0","52676124335.267699843841815176","340751.3993573962448798887604229368","0.000006468801637504991808575603245642226","0","0.000006468801637504991808575603245642226","0.000006468801637504991808575603245642226","0.000006468801637504991808575603245642226","0.000006468801637504991808575603245642226","TKING","2022-02-14 11:00:00"
1644836400,"0","0","0","1965050.579067787676533825","5858863.8469451054254716341100627","2.981533355606819831779479697738023","0","2.981533355606819831779479697738023","2.981533355606819831779479697738023","2.981533355606819831779479697738023","2.981533355606819831779479697738023","YGG","2022-02-14 11:00:00"
1644836400,"0","0","0","10954643.633301780837569305","344446.9231356259257022796310336732","0.03144300578510083506253255390499806","0","0.0312278309751078757763154784492233","0.03144300578510083506253255390499806","0.0312278309751078757763154784492233","0.03144300578510083506253255390499806","VADER","2022-02-14 11:00:00"
1644836400,"0","0","0","1153812.107627875784073543","548520.4474917697557485595702193024","0.4753984152753205622327967743377748","0","0.4753984152753205622327967743377748","0.4753984152753205622327967743377748","0.4753984152753205622327967743377748","0.4753984152753205622327967743377748","ALEPH","2022-02-14 11:00:00"
